Object ID,Label,Probability,Object X,Object Y,,,,,,Object Z,Vx,Vy,Vz,Covariance_00,Covariance_01,Covariance_02,Covariance_03,Covariance_04,Covariance_05,Self Position X,Self Position Y,Self Position Z,,,
7af29626468ebb9ba224a7ecfa792e6f,1,1,4062.45637269697,57975.9606362586,9.61380047662688,4054.04956054688,57971.296875,8.40681215008999,4.66376125859824,283.160064697266,-2.4118309514636,0,0,1.70194169920773,-0.198862792849733,0,0,0,0,4056.5223634354,57974.9483269809,283.693614654544,,4064.92917558549,57979.6120882395
7af29626468ebb9ba224a7ecfa792e6f,1,1,4062.79149755779,57975.9263610617,9.89209805341831,4054.04956054688,57971.296875,8.74193701091008,4.62948606169812,283.152801513672,-2.48039423195979,0,0,1.30941487063494,-0.158749601825888,0,0,0,0,4056.5223634354,57974.9483269809,283.693614654544,,4065.26430044631,57979.5778130426
7af29626468ebb9ba224a7ecfa792e6f,1,1,4063.03616080884,57975.885498828,10.0903148069295,4054.04956054688,57971.296875,8.98660026196012,4.58862382799998,283.152801513672,-2.48039423195979,0,0,1.65463419487839,-0.193122254786919,0,0,0,0,4056.5223634354,57974.9483269809,283.693614654544,,4065.50896369736,57979.5369508089
7af29626468ebb9ba224a7ecfa792e6f,1,1,4063.34798241524,57975.817818904,10.3392254557505,4054.04956054688,57971.296875,9.29842186836004,4.52094390399725,283.146545410156,-2.53295969400522,0,0,1.28510760170369,-0.170809570286624,0,0,0,0,4056.5223634354,57974.9483269809,283.693614654544,,4065.82078530376,57979.4692708849
7af29626468ebb9ba224a7ecfa792e6f,1,1,4063.5975820082,57975.7744336607,10.5457690751145,4054.04956054688,57971.296875,9.54802146131988,4.47755866069929,283.146545410156,-2.53295969400522,0,0,1.624951952486,-0.20721013094405,0,0,0,0,4057.8593634354,57976.8196269809,283.68798437151,,4067.40738489672,57981.2971856416
7af29626468ebb9ba224a7ecfa792e6f,1,1,4063.95659030747,57975.8075322486,10.8855531550551,4054.04956054688,57971.296875,9.90702976058992,4.51065724859654,283.149993896484,-2.60408227013095,0,0,1.27155455928801,-0.167623326003476,0,0,0,0,4057.8593634354,57976.8196269809,283.68798437151,,4067.76639319599,57981.3302842295
7af29626468ebb9ba224a7ecfa792e6f,1,1,4064.21396597979,57975.7677376712,11.1042222073144,4054.04956054688,57971.296875,10.1644054329099,4.47086267120176,283.149993896484,-2.60408227013095,0,0,1.60725705560363,-0.200963227526489,0,0,0,0,4057.8593634354,57976.8196269809,283.68798437151,,4068.02376886831,57981.2904896521
7af29626468ebb9ba224a7ecfa792e6f,1,1,4064.47530284732,57975.7562489613,11.3394055682903,4054.04956054688,57971.296875,10.4257423004401,4.45937396129739,283.146728515625,-2.60428661593819,0,0,1.25628076479808,-0.16890810129573,0,0,0,0,4058.6362634354,57977.8666269809,283.6880750778,,4069.06200573584,57982.3260009422
7af29626468ebb9ba224a7ecfa792e6f,1,1,4064.73272889222,57975.7168282641,11.5614044454548,4054.04956054688,57971.296875,10.6831683453402,4.4199532640996,283.146728515625,-2.60428661593819,0,0,1.58683946506525,-0.201919273489619,0,0,0,0,4058.6362634354,57977.8666269809,283.6880750778,,4069.31943178074,57982.286580245
7af29626468ebb9ba224a7ecfa792e6f,1,1,4064.88726153742,57975.6752665829,11.6887157384066,4054.04956054688,57971.296875,10.8377009905398,4.37839158289717,283.149383544922,-2.52910560300837,0,0,1.24258034929856,-0.170859325742549,0,0,0,0,4059.4924634354,57978.9824269809,283.685667592756,,4070.33016442594,57983.3608185638
7af29626468ebb9ba224a7ecfa792e6f,1,1,4065.13686011299,57975.6346174953,11.9056382283399,4054.04956054688,57971.296875,11.0872995661098,4.33774249529961,283.149383544922,-2.52910560300837,0,0,1.56844185568196,-0.204938188742068,0,0,0,0,4059.4924634354,57978.9824269809,283.685667592756,,4070.57976300151,57983.3201694762
7af29626468ebb9ba224a7ecfa792e6f,1,1,4065.24873147501,57975.5933904556,11.9950604224517,4054.04956054688,57971.296875,11.1991709281301,4.29651545560046,283.151214599609,-2.42893803096134,0,0,1.22650760326333,-0.180560854809397,0,0,0,0,4059.4924634354,57978.9824269809,283.685667592756,,4070.69163436353,57983.2789424365
7af29626468ebb9ba224a7ecfa792e6f,1,1,4065.48797649079,57975.5514468124,12.2040460755106,4054.04956054688,57971.296875,11.4384159439101,4.25457181240199,283.151214599609,-2.42893803096134,0,0,1.54798619388502,-0.217063569387962,0,0,0,0,4059.4924634354,57978.9824269809,283.685667592756,,4070.93087937931,57983.2369987933
7af29626468ebb9ba224a7ecfa792e6f,1,1,4065.4949037342,57975.4760821941,12.1844841272193,4054.04956054688,57971.296875,11.4453431873199,4.17920719410176,283.140472412109,-2.26378852545578,0,0,1.22126215565383,-0.175803745938095,0,0,0,0,4059.4924634354,57978.9824269809,283.685667592756,,4070.93780662272,57983.161634175
7af29626468ebb9ba224a7ecfa792e6f,1,1,4065.71714070043,57975.4327375733,12.3789250690464,4054.04956054688,57971.296875,11.6675801535498,4.13586257329735,283.140472412109,-2.26378852545578,0,0,1.54043095694221,-0.213616608285875,0,0,0,0,4059.4924634354,57978.9824269809,283.685667592756,,4071.16004358895,57983.1182895542
7af29626468ebb9ba224a7ecfa792e6f,1,1,4065.75461562933,57975.4585176138,12.4228653590216,4054.04956054688,57971.296875,11.7050550824501,4.1616426137989,283.139373779297,-2.12213282002836,0,0,1.21314308454698,-0.182453185334281,0,0,0,0,4059.4924634354,57978.9824269809,283.685667592756,,4071.19751851785,57983.1440695947
7af29626468ebb9ba224a7ecfa792e6f,1,1,4065.96304803988,57975.418634496,12.6063510021155,4054.04956054688,57971.296875,11.913487493,4.12175949600351,283.139373779297,-2.12213282002836,0,0,1.53068747400428,-0.220887387502344,0,0,0,0,4059.4924634354,57978.9824269809,283.685667592756,,4071.4059509284,57983.1041864769
7af29626468ebb9ba224a7ecfa792e6f,1,1,4065.92918099312,57975.4114608682,12.5720005891396,4054.04956054688,57971.296875,11.8796204462401,4.11458586819936,283.137115478516,-1.94390136125326,0,0,1.20688292847082,-0.18968108991252,0,0,0,0,4059.4924634354,57978.9824269809,283.685667592756,,4071.37208388164,57983.0970128491
7af29626468ebb9ba224a7ecfa792e6f,1,1,4066.11981941809,57975.3733721112,12.7400540781998,4054.04956054688,57971.296875,12.0702588712102,4.0764971112003,283.137115478516,-1.94390136125326,0,0,1.52297843510178,-0.23004308562185,0,0,0,0,4059.4924634354,57978.9824269809,283.685667592756,,4071.56272230661,57983.0589240921
7af29626468ebb9ba224a7ecfa792e6f,1,1,4065.90270063875,57975.2390250133,12.4914961779913,4054.04956054688,57971.296875,11.85314009187,3.94215001330303,283.123901367187,-1.66487968752293,0,0,1.18146525620835,-0.226778972468443,0,0,0,0,4063.5804634354,57983.9156269809,283.664440806114,,4075.43360352727,57987.8577769942
7af29626468ebb9ba224a7ecfa792e6f,1,1,4066.06405146754,57975.1979782298,12.6319673247064,4054.04956054688,57971.296875,12.0144909206601,3.90110322980036,283.123901367187,-1.66487968752293,0,0,1.49137216900089,-0.277329105360687,0,0,0,0,4063.5804634354,57983.9156269809,283.664440806114,,4075.59495435606,57987.8167302107
7af29626468ebb9ba224a7ecfa792e6f,1,1,4065.90451383654,57975.1327917982,12.4601033375785,4054.04956054688,57971.296875,11.85495328966,3.83591679819801,283.1162109375,-1.44123639658105,0,0,1.16928040834797,-0.250582264368374,0,0,0,0,4063.5804634354,57983.9156269809,283.664440806114,,4075.43541672506,57987.7515437791
7af29626468ebb9ba224a7ecfa792e6f,1,1,4066.04301889698,57975.0929234709,12.579865944786,4054.04956054688,57971.296875,11.9934583500999,3.79604847089649,283.1162109375,-1.44123639658105,0,0,1.47608591982036,-0.307217204764327,0,0,0,0,4063.5804634354,57983.9156269809,283.664440806114,,4075.5739217855,57987.7116754518
7af29626468ebb9ba224a7ecfa792e6f,1,1,4065.86674191005,57975.0819862356,12.4085793883071,4054.04956054688,57971.296875,11.8171813631702,3.7851112356002,283.110595703125,-1.21466261343816,0,0,1.17034479300895,-0.25275796846776,0,0,0,0,4063.5804634354,57983.9156269809,283.664440806114,,4075.39764479857,57987.7007382165
7af29626468ebb9ba224a7ecfa792e6f,1,1,4065.98304369539,57975.0469453387,12.5088387790751,4054.04956054688,57971.296875,11.9334831485098,3.7500703386977,283.110595703125,-1.21466261343816,0,0,1.47659478805939,-0.311233942669766,0,0,0,0,4063.5804634354,57983.9156269809,283.664440806114,,4075.51394658391,57987.6656973196
7af29626468ebb9ba224a7ecfa792e6f,1,1,4065.78529861047,57975.0343753587,12.3165115527352,4054.04956054688,57971.296875,11.7357380635899,3.73750035870034,283.10693359375,-0.991855937428914,0,0,1.16961505554212,-0.254217864496841,0,0,0,0,4063.5804634354,57983.9156269809,283.664440806114,,4075.31620149899,57987.6531273396
7af29626468ebb9ba224a7ecfa792e6f,1,1,4065.87999422753,57975.0048575491,12.397914972149,4054.04956054688,57971.296875,11.83043368065,3.70798254910187,283.10693359375,-0.991855937428914,0,0,1.47493891010017,-0.314351472259682,0,0,0,0,4063.5804634354,57983.9156269809,283.664440806114,,4075.41089711605,57987.62360953
7af29626468ebb9ba224a7ecfa792e6f,1,1,4065.77831444949,57974.974319896,12.2917561426695,4054.04956054688,57971.296875,11.7287539026102,3.67744489599863,283.101104736328,-0.863136957506455,0,0,1.32425257710083,-0.288209245160009,0,0,0,0,4067.1554634354,57987.8581269809,283.632447754615,,4078.88421733801,57991.5355718769
7af29626468ebb9ba224a7ecfa792e6f,1,1,4065.86050142822,57974.9479390567,12.3623862279462,4054.04956054688,57971.296875,11.8109408813398,3.6510640566994,283.101104736328,-0.863136957506455,0,0,1.65054810968417,-0.351451786380223,0,0,0,0,4067.1554634354,57987.8581269809,283.632447754615,,4078.96640431674,57991.5091910376
7af29626468ebb9ba224a7ecfa792e6f,1,1,4065.75735021854,57974.9172740956,12.2547798269525,4054.04956054688,57971.296875,11.7077896716601,3.62039909559826,283.095916748047,-0.744534990619197,0,0,1.38428072491226,-0.316216325107359,0,0,0,0,4068.4423634354,57989.2106269809,283.625662047296,,4080.15015310706,57992.8310260765
7af29626468ebb9ba224a7ecfa792e6f,1,1,4065.60249680679,57974.8938473054,12.0999399168488,4054.04956054688,57971.296875,11.55293625991,3.59697230540041,283.082092285156,-0.590599503954308,0,0,1.12035096869654,-0.262684677683309,0,0,0,0,4068.4423634354,57989.2106269809,283.625662047296,,4079.99529969531,57992.8075992863
7af29626468ebb9ba224a7ecfa792e6f,1,1,4065.65850842132,57974.8751031786,12.1478964289876,4054.04956054688,57971.296875,11.6089478744402,3.57822817860142,283.082092285156,-0.590599503954308,0,0,1.41447043180049,-0.325246574556896,0,0,0,0,4068.4423634354,57989.2106269809,283.625662047296,,4080.05131130984,57992.7888551595
7af29626468ebb9ba224a7ecfa792e6f,1,1,4065.50635561718,57974.8584685925,11.9976290241377,4054.04956054688,57971.296875,11.4567950702999,3.56159359250159,283.073699951172,-0.449582333828898,0,0,1.13375842576687,-0.268254463692621,0,0,0,0,4069.7377634354,57990.5424269809,283.614297765484,,4081.1945585057,57994.1040205734
7af29626468ebb9ba224a7ecfa792e6f,1,1,4065.54899549264,57974.8442143914,12.0341439591621,4054.04956054688,57971.296875,11.4994349457602,3.54733939139987,283.073699951172,-0.449582333828898,0,0,1.43006232990616,-0.331974289503687,0,0,0,0,4069.7377634354,57990.5424269809,283.614297765484,,4081.23719838116,57994.0897663723
7af29626468ebb9ba224a7ecfa792e6f,1,1,4065.39940530888,57974.8511250415,11.8933455965698,4054.04956054688,57971.296875,11.349844762,3.55425004150311,283.078277587891,-0.314476634818312,0,0,1.1406349531126,-0.275539163209703,0,0,0,0,4071.0818634354,57991.8810269809,283.608976819126,,4082.4317081974,57995.4352770224
7af29626468ebb9ba224a7ecfa792e6f,1,1,4065.42925536727,57974.8412093588,11.9188825085455,4054.04956054688,57971.296875,11.3796948203899,3.54433435879764,283.078277587891,-0.314476634818312,0,0,1.43873344668067,-0.340246083825642,0,0,0,0,4071.0818634354,57991.8810269809,283.608976819126,,4082.46155825579,57995.4253613397
7af29626468ebb9ba224a7ecfa792e6f,1,1,4065.27012217673,57974.8392978487,11.7664677337101,4054.04956054688,57971.296875,11.2205616298502,3.5424228487027,283.081390380859,-0.185218766793393,0,0,1.14593254590045,-0.277370186653233,0,0,0,0,4071.0818634354,57991.8810269809,283.608976819126,,4082.30242506525,57995.4234498296
7af29626468ebb9ba224a7ecfa792e6f,1,1,4065.28772016566,57974.8335162026,11.7815135960148,4054.04956054688,57971.296875,11.2381596187802,3.53664120259782,283.081390380859,-0.185218766793393,0,0,1.4454314696694,-0.342228446741438,0,0,0,0,4072.4214634354,57993.1732269809,283.599594682687,,4083.65962305418,57996.7098681835
7af29626468ebb9ba224a7ecfa792e6f,1,1,4065.08109702326,57974.8014027064,11.5748223085499,4054.04956054688,57971.296875,11.0315364763801,3.50452770639822,283.073669433594,-0.041329622384015,0,0,1.15145764055921,-0.269557108587194,0,0,0,0,4072.4214634354,57993.1732269809,283.599594682687,,4083.45299991178,57996.6777546873
7af29626468ebb9ba224a7ecfa792e6f,1,1,4065.08503338014,57974.8001441694,11.5781931028495,4054.04956054688,57971.296875,11.03547283326,3.50326916939957,283.073669433594,-0.041329622384015,0,0,1.4522815485245,-0.333058152698959,0,0,0,0,4072.4214634354,57993.1732269809,283.599594682687,,4083.45693626866,57996.6764961503
